문서,섹션,항목,내용
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","SIF 유사사례"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","위험성평가표 근거"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","TBM 브리핑 근거"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","1","위험성평가표(구조화 편집본)"
"위험성평가표","1. 외벽 도장 작업","관리번호","RA-construction-painting-1"
"위험성평가표","1. 외벽 도장 작업","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","1. 외벽 도장 작업","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","1. 외벽 도장 작업","세부작업","외벽 도장 작업"
"위험성평가표","1. 외벽 도장 작업","장비/도구","이동식 비계, 안전난간, 추락방지 보호구"
"위험성평가표","1. 외벽 도장 작업","유해·위험요인","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","1. 외벽 도장 작업","4M","Machine"
"위험성평가표","1. 외벽 도장 작업","재해형태","fall"
"위험성평가표","1. 외벽 도장 작업","현재 안전조치","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","1. 외벽 도장 작업","가능성","3"
"위험성평가표","1. 외벽 도장 작업","중대성","4"
"위험성평가표","1. 외벽 도장 작업","위험등급","high"
"위험성평가표","1. 외벽 도장 작업","추가 감소대책","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","1. 외벽 도장 작업","조치담당자","관리감독자"
"위험성평가표","1. 외벽 도장 작업","조치기한","현장 확인"
"위험성평가표","1. 외벽 도장 작업","확인방법","작업 전 TBM 및 현장 사진 확인"
"위험성평가표","1. 외벽 도장 작업","확인상태","planned"
"위험성평가표","1. 외벽 도장 작업","확인일","현장 확인"
"위험성평가표","1. 외벽 도장 작업","확인자","작업반장"
"위험성평가표","1. 외벽 도장 작업","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","1. 외벽 도장 작업","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","1. 외벽 도장 작업","근거","riskAssessmentDraft | tbmBriefing"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","관리번호","RA-construction-painting-2"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","세부작업","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","장비/도구","이동식 비계, 안전난간, 추락방지 보호구"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","유해·위험요인","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","4M","Machine"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","재해형태","fall"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","현재 안전조치","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","가능성","2"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","중대성","4"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","위험등급","medium"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","추가 감소대책","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","조치담당자","작업반장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","조치기한","현장 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인방법","작업 전 체크리스트 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인상태","needsReview"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인일","현장 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인자","작업반장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","근거","riskAssessmentDraft | tbmBriefing"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","관리번호","RA-construction-painting-3"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","세부작업","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","장비/도구","지게차, 랙, 팔레트, 신호장비"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","유해·위험요인","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","4M","Machine"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","재해형태","struckBy"
