문서,섹션,항목,내용
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","한빛로지스"
"위험성평가표","기본정보","업종","물류업"
"위험성평가표","기본정보","작업명","상하차 및 피킹 작업"
"위험성평가표","기본정보","공정/세부작업","지게차 상하차, 랙 피킹, 출하 동선 분리"
"위험성평가표","기본정보","작업장소","인천 남동공단 물류센터"
"위험성평가표","기본정보","작업인원","6명"
"위험성평가표","기본정보","기상 및 작업조건","우천 후 바닥 젖음, 미끄럼·동선 분리 기준 공유 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","상하차 및 피킹 작업"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:□ Management:□ / 중점 확인: Man, Machine"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:□ Management:□ / 중점 확인: Man, Machine"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:□ Machine:□ Media:■ Management:■ / 중점 확인: Media, Management"
"위험성평가표","3. 위험성 결정","1","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","지게차 전용 동선과 보행 동선을 바닥표시와 차단봉으로 분리"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","상하차 구간 진입 전 신호수 배치와 후진 경보 확인"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전 및 작업 중 수시"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","작업반장 / 신호수"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","3","고중량 적재물 하역 전 작업반경을 비우고 낙하위험 구역을 통제"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","TBM 직후"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","전 작업자"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","하"
"위험성평가표","5. 공유·교육","1","위험성평가 결과는 TBM에서 구두 설명하고, 작업자 이해 여부를 확인합니다."
"위험성평가표","5. 공유·교육","2","신규 투입자와 외국인 근로자는 쉬운 문장 또는 다국어 보조 설명을 추가합니다."
"위험성평가표","6. 조치 확인","위험성평가 실시자","현장소장 / 관리감독자"
"위험성평가표","6. 조치 확인","근로자 참여 확인","작업 전 TBM에서 공유 및 복창 확인"
"위험성평가표","6. 조치 확인","조치 완료 예정일","작업 시작 전 즉시"
"위험성평가표","6. 조치 확인","미조치 항목 처리","작업 보류 또는 책임자 승인 후 재평가"
