문서,섹션,항목,내용
"점검결과 요약","기본정보","1","점검결과 요약(초안)"
"점검결과 요약","기본정보","2","현장 문서팩 첫 장 · 작업 전 검토용"
"점검결과 요약","기본정보","업체명","한빛로지스"
"점검결과 요약","기본정보","업종","물류업"
"점검결과 요약","기본정보","현장명","인천 남동공단 물류센터"
"점검결과 요약","기본정보","작업명","상하차 및 피킹 작업"
"점검결과 요약","기본정보","작업인원","2명"
"점검결과 요약","기본정보","작업조건","우천 후 바닥 젖음, 미끄럼·동선 분리 기준 공유 필요"
"점검결과 요약","핵심 판단","- 위험수준","상"
"점검결과 요약","핵심 판단","- 핵심 위험","지게차 동선과 보행 동선이 겹치면서 충돌하거나 적재물이 낙하할 위험"
"점검결과 요약","즉시 조치","1","지게차 전용 동선과 보행 동선을 바닥표시와 차단봉으로 분리"
"점검결과 요약","즉시 조치","2","상하차 구간 진입 전 신호수 배치와 후진 경보 확인"
"점검결과 요약","즉시 조치","3","고중량 적재물 하역 전 작업반경을 비우고 낙하위험 구역을 통제"
"점검결과 요약","문서팩 구성","- 위험성평가표","위험요인, 감소대책, 담당자, 확인 근거"
"점검결과 요약","문서팩 구성","- 작업계획서","작업구간, 작업순서, 장비·인원, 작업중지 기준"
"점검결과 요약","문서팩 구성","- TBM 및 일일점검","작업 전 질문, 참석자 확인, 작업 전·중·후 확인"
"점검결과 요약","문서팩 구성","- 안전보건교육","교육대상, 교육내용, 이해도 확인, 후속 교육"
"점검결과 요약","문서팩 구성","- 비상대응","즉시조치, 보고체계, 현장보존, 재발방지"
"점검결과 요약","문서팩 구성","- 사진/증빙","조치 전·후 사진, 설명, 확인자"
"점검결과 요약","연결 상태 요약","- 법령 근거","연결됨"
"점검결과 요약","연결 상태 요약","- 기상","연결됨"
"점검결과 요약","연결 상태 요약","- 후속 교육","연결됨"
"점검결과 요약","연결 상태 요약","- KOSHA 자료","연결됨"
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","한빛로지스"
"위험성평가표","기본정보","업종","물류업"
"위험성평가표","기본정보","작업명","상하차 및 피킹 작업"
"위험성평가표","기본정보","공정/세부작업","지게차 상하차, 랙 피킹, 출하 동선 분리"
"위험성평가표","기본정보","작업장소","인천 남동공단 물류센터"
"위험성평가표","기본정보","작업인원","2명"
"위험성평가표","기본정보","기상 및 작업조건","우천 후 바닥 젖음, 미끄럼·동선 분리 기준 공유 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","상하차 및 피킹 작업"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:□ Management:□ / 중점 확인: Man, Machine"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:□ Management:□ / 중점 확인: Man, Machine"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:□ Machine:□ Media:■ Management:■ / 중점 확인: Media, Management"
"위험성평가표","3. 위험성 결정","1","지게차 회차 구간에서 보행자 충돌"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","상부 랙 피킹 중 적재물 낙하"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","출하 집중 시간대 교차동선 혼잡"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","지게차 전용 동선과 보행 동선을 바닥표시와 차단봉으로 분리"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","상하차 구간 진입 전 신호수 배치와 후진 경보 확인"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전 및 작업 중 수시"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","작업반장 / 신호수"
