문서,섹션,항목,내용
"점검결과 요약","기본정보","1","점검결과 요약(초안)"
"점검결과 요약","기본정보","2","현장 문서팩 첫 장 · 작업 전 검토용"
"점검결과 요약","기본정보","업체명","세이프건설"
"점검결과 요약","기본정보","업종","건설업"
"점검결과 요약","기본정보","현장명","서울 성수동 근린생활시설 현장"
"점검결과 요약","기본정보","작업명","외벽 도장 작업"
"점검결과 요약","기본정보","작업인원","6명"
"점검결과 요약","기본정보","작업조건","오후 강풍 예보, 작업중지 기준 공유 필요"
"점검결과 요약","핵심 판단","- 위험수준","상"
"점검결과 요약","핵심 판단","- 핵심 위험","강풍 상황에서 이동식 비계가 흔들리며 작업자가 추락하거나 비계가 전도될 위험"
"점검결과 요약","즉시 조치","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"점검결과 요약","즉시 조치","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"점검결과 요약","즉시 조치","3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"점검결과 요약","문서팩 구성","- 위험성평가표","위험요인, 감소대책, 담당자, 확인 근거"
"점검결과 요약","문서팩 구성","- 작업계획서","작업구간, 작업순서, 장비·인원, 작업중지 기준"
"점검결과 요약","문서팩 구성","- TBM 및 일일점검","작업 전 질문, 참석자 확인, 작업 전·중·후 확인"
"점검결과 요약","문서팩 구성","- 안전보건교육","교육대상, 교육내용, 이해도 확인, 후속 교육"
"점검결과 요약","문서팩 구성","- 비상대응","즉시조치, 보고체계, 현장보존, 재발방지"
"점검결과 요약","문서팩 구성","- 사진/증빙","조치 전·후 사진, 설명, 확인자"
"점검결과 요약","연결 상태 요약","- 법령 근거","연결됨"
"점검결과 요약","연결 상태 요약","- 기상","연결됨"
"점검결과 요약","연결 상태 요약","- 후속 교육","연결됨"
"점검결과 요약","연결 상태 요약","- KOSHA 자료","연결됨"
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","세이프건설"
"위험성평가표","기본정보","업종","건설업"
"위험성평가표","기본정보","작업명","외벽 도장 작업"
"위험성평가표","기본정보","공정/세부작업","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","기본정보","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","기본정보","작업인원","6명"
"위험성평가표","기본정보","기상 및 작업조건","오후 강풍 예보, 작업중지 기준 공유 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","외벽 도장 작업"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","3. 위험성 결정","1","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
