문서,섹션,항목,내용
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","세이프건설"
"위험성평가표","기본정보","업종","건설업"
"위험성평가표","기본정보","작업명","외벽 도장 작업"
"위험성평가표","기본정보","공정/세부작업","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","기본정보","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","기본정보","작업인원","5명"
"위험성평가표","기본정보","기상 및 작업조건","오후 강풍 예보, 작업중지 기준 공유 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","외벽 도장 작업"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:□ Management:□ / 중점 확인: Man, Machine"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:■ Management:□ / 중점 확인: Man, Machine, Media"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:■ Media:■ Management:■ / 중점 확인: Man, Machine, Media, Management"
"위험성평가표","3. 위험성 결정","1","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전 및 작업 중 수시"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","작업반장 / 신호수"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","TBM 직후"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","전 작업자"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","하"
"위험성평가표","5. 공유·교육","1","위험성평가 결과는 TBM에서 구두 설명하고, 작업자 이해 여부를 확인합니다."
"위험성평가표","5. 공유·교육","2","신규 투입자와 외국인 근로자는 쉬운 문장 또는 다국어 보조 설명을 추가합니다."
"위험성평가표","6. 조치 확인","위험성평가 실시자","현장소장 / 관리감독자"
"위험성평가표","6. 조치 확인","근로자 참여 확인","작업 전 TBM에서 공유 및 복창 확인"
"위험성평가표","6. 조치 확인","조치 완료 예정일","작업 시작 전 즉시"
"위험성평가표","6. 조치 확인","미조치 항목 처리","작업 보류 또는 책임자 승인 후 재평가"
