문서,섹션,항목,내용
"점검결과 요약","기본정보","1","점검결과 요약(초안)"
"점검결과 요약","기본정보","2","현장 문서팩 첫 장 · 작업 전 검토용"
"점검결과 요약","기본정보","업체명","대성창고"
"점검결과 요약","기본정보","업종","창고업"
"점검결과 요약","기본정보","현장명","대구 달서구 물류창고"
"점검결과 요약","기본정보","작업명","고중량 박스 적재 및 수작업 운반"
"점검결과 요약","기본정보","작업인원","5명"
"점검결과 요약","기본정보","작업조건","폭염주의 수준, 온열질환과 근골격계 부담 관리 필요"
"점검결과 요약","핵심 판단","- 위험수준","중"
"점검결과 요약","핵심 판단","- 핵심 위험","폭염 환경에서 고중량 박스 운반이 반복되어 온열질환과 근골격계 부담이 커질 수 있음"
"점검결과 요약","즉시 조치","1","작업 전 물·그늘·휴식 기준과 이상 증상 보고 절차 공유"
"점검결과 요약","즉시 조치","2","2인 1조 운반과 이동대차 사용, 허리 비틀림 작업 금지"
"점검결과 요약","즉시 조치","3","지게차 이동구간 접근금지와 신호수 위치 확인"
"점검결과 요약","문서팩 구성","- 위험성평가표","위험요인, 감소대책, 담당자, 확인 근거"
"점검결과 요약","문서팩 구성","- 작업계획서","작업구간, 작업순서, 장비·인원, 작업중지 기준"
"점검결과 요약","문서팩 구성","- TBM 및 일일점검","작업 전 질문, 참석자 확인, 작업 전·중·후 확인"
"점검결과 요약","문서팩 구성","- 안전보건교육","교육대상, 교육내용, 이해도 확인, 후속 교육"
"점검결과 요약","문서팩 구성","- 비상대응","즉시조치, 보고체계, 현장보존, 재발방지"
"점검결과 요약","문서팩 구성","- 사진/증빙","조치 전·후 사진, 설명, 확인자"
"점검결과 요약","연결 상태 요약","- 법령 근거","연결됨"
"점검결과 요약","연결 상태 요약","- 기상","연결됨"
"점검결과 요약","연결 상태 요약","- 후속 교육","연결됨"
"점검결과 요약","연결 상태 요약","- KOSHA 자료","연결됨"
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","대성창고"
"위험성평가표","기본정보","업종","창고업"
"위험성평가표","기본정보","작업명","고중량 박스 적재 및 수작업 운반"
"위험성평가표","기본정보","공정/세부작업","박스 적재, 핸드파렛트 이동, 지게차 보조 운반, 휴식관리"
"위험성평가표","기본정보","작업장소","대구 달서구 물류창고"
"위험성평가표","기본정보","작업인원","5명"
"위험성평가표","기본정보","기상 및 작업조건","폭염주의 수준, 온열질환과 근골격계 부담 관리 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","고중량 박스 적재 및 수작업 운반"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","고온 창고 내 장시간 운반으로 인한 온열질환"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","고온 창고 내 장시간 운반으로 인한 온열질환"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","고중량 박스 반복 취급으로 인한 허리·어깨 부담"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","고중량 박스 반복 취급으로 인한 허리·어깨 부담"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","지게차 보조 이동 중 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","지게차 보조 이동 중 보행자 충돌"
"위험성평가표","2. 유해·위험요인 파악","- 4M 관점","작업자(Man), 장비·도구(Machine), 작업환경(Media), 관리체계(Management) 확인"
"위험성평가표","3. 위험성 결정","1","고온 창고 내 장시간 운반으로 인한 온열질환"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","고중량 박스 반복 취급으로 인한 허리·어깨 부담"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","지게차 보조 이동 중 보행자 충돌"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","작업 전 물·그늘·휴식 기준과 이상 증상 보고 절차 공유"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","2인 1조 운반과 이동대차 사용, 허리 비틀림 작업 금지"
