문서,섹션,항목,내용
"위험성평가표","기본정보","1","위험성평가표(초안)"
"위험성평가표","기본정보","공식자료 기반","KOSHA 위험성평가 절차 및 4M 기법 참고"
"위험성평가표","기본정보","업체명","그린메탈"
"위험성평가표","기본정보","업종","제조업"
"위험성평가표","기본정보","작업명","용접·절단 화기작업"
"위험성평가표","기본정보","공정/세부작업","금속 절단, 아크 용접, 가연물 통제, 화재감시"
"위험성평가표","기본정보","작업장소","경기 안산 제조공장"
"위험성평가표","기본정보","작업인원","6명"
"위험성평가표","기본정보","기상 및 작업조건","고온 작업조건, 온열질환 예방과 휴식 기준 공유 필요"
"위험성평가표","1. 사전준비","- 평가대상 작업","용접·절단 화기작업"
"위험성평가표","1. 사전준비","- 참여자","현장소장, 관리감독자, 작업반장, 해당 작업자"
"위험성평가표","1. 사전준비","- 확인자료","작업계획, 기상조건, 장비·보호구 상태, 최근 TBM 기록"
"위험성평가표","2. 유해·위험요인 파악","1. 세부작업","용접 비산불꽃에 의한 화재"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","용접 비산불꽃에 의한 화재"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:□ Machine:■ Media:■ Management:■ / 중점 확인: Machine, Media, Management"
"위험성평가표","2. 유해·위험요인 파악","2. 세부작업","절단 작업 중 화상 및 보호구 미착용"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","절단 작업 중 화상 및 보호구 미착용"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:■ Machine:□ Media:□ Management:□ / 중점 확인: Man"
"위험성평가표","2. 유해·위험요인 파악","3. 세부작업","용접 흄 체류로 인한 호흡기 노출"
"위험성평가표","2. 유해·위험요인 파악","- 유해·위험요인","용접 흄 체류로 인한 호흡기 노출"
"위험성평가표","2. 유해·위험요인 파악","- 4M 체크","Man:□ Machine:■ Media:■ Management:□ / 중점 확인: Machine, Media"
"위험성평가표","3. 위험성 결정","1","용접 비산불꽃에 의한 화재"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","사고 발생 가능성과 중대성을 함께 고려"
"위험성평가표","3. 위험성 결정","2","절단 작업 중 화상 및 보호구 미착용"
"위험성평가표","3. 위험성 결정","- 현재 위험성","상"
"위험성평가표","3. 위험성 결정","- 판단근거","작업 전 통제 여부와 노출 빈도 확인"
"위험성평가표","3. 위험성 결정","3","용접 흄 체류로 인한 호흡기 노출"
"위험성평가표","3. 위험성 결정","- 현재 위험성","중"
"위험성평가표","3. 위험성 결정","- 판단근거","관리감독 및 작업자 숙지 여부 확인"
"위험성평가표","4. 감소대책 수립 및 실행","1","화기작업 전 가연물 제거와 소화기 배치, 화재감시자 지정"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","관리감독자 / 작업반장"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","2","용접면·방염장갑·보안경 등 보호구 착용 상태 확인"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","작업 시작 전 및 작업 중 수시"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","작업반장 / 신호수"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","중"
"위험성평가표","4. 감소대책 수립 및 실행","3","국소배기와 환기설비를 가동하고 밀폐구역 작업을 제한"
"위험성평가표","4. 감소대책 수립 및 실행","- 실행시점","TBM 직후"
"위험성평가표","4. 감소대책 수립 및 실행","- 담당","전 작업자"
"위험성평가표","4. 감소대책 수립 및 실행","- 잔여 위험성","하"
"위험성평가표","5. 공유·교육","1","위험성평가 결과는 TBM에서 구두 설명하고, 작업자 이해 여부를 확인합니다."
"위험성평가표","5. 공유·교육","2","신규 투입자와 외국인 근로자는 쉬운 문장 또는 다국어 보조 설명을 추가합니다."
"위험성평가표","6. 조치 확인","위험성평가 실시자","현장소장 / 관리감독자"
"위험성평가표","6. 조치 확인","근로자 참여 확인","작업 전 TBM에서 공유 및 복창 확인"
"위험성평가표","6. 조치 확인","조치 완료 예정일","작업 시작 전 즉시"
"위험성평가표","6. 조치 확인","미조치 항목 처리","작업 보류 또는 책임자 승인 후 재평가"
