문서,섹션,항목,내용
"점검결과 요약","기본정보","1","점검결과 요약(초안)"
"점검결과 요약","기본정보","2","현장 문서팩 첫 장 · 작업 전 검토용"
"점검결과 요약","기본정보","업체명","세이프건설"
"점검결과 요약","기본정보","업종","건설업"
"점검결과 요약","기본정보","현장명","서울 성수동 근린생활시설 현장"
"점검결과 요약","기본정보","작업명","외벽 도장 작업"
"점검결과 요약","기본정보","작업인원","5명"
"점검결과 요약","기본정보","작업조건 판단","오후 강풍 예보, 작업중지 기준 공유 필요"
"점검결과 요약","특수 대상/조건","1","신규 투입자 1명 포함 — 작업중지 기준과 보호구 착용을 별도 복창 확인"
"점검결과 요약","특수 대상/조건","2","강풍 조건 — 작업중지 기준과 대피 위치를 작업 전 공유"
"점검결과 요약","핵심 판단","- 위험수준","상"
"점검결과 요약","핵심 판단","- 핵심 위험","강풍 상황에서 이동식 비계가 흔들리며 작업자가 추락하거나 비계가 전도될 위험"
"점검결과 요약","즉시 조치","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"점검결과 요약","즉시 조치","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"점검결과 요약","즉시 조치","3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"점검결과 요약","문서팩 구성","- 위험성평가표","위험요인, 감소대책, 담당자, 확인 근거"
"점검결과 요약","문서팩 구성","- 작업계획서","작업구간, 작업순서, 장비·인원, 작업중지 기준"
"점검결과 요약","문서팩 구성","- TBM 및 일일점검","작업 전 질문, 참석자 확인, 작업 전·중·후 확인"
"점검결과 요약","문서팩 구성","- 안전보건교육","교육대상, 교육내용, 이해도 확인, 후속 교육"
"점검결과 요약","문서팩 구성","- 비상대응","즉시조치, 보고체계, 현장보존, 재발방지"
"점검결과 요약","문서팩 구성","- 사진/증빙","조치 전·후 사진, 설명, 확인자"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","SIF 유사사례"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","위험성평가표 근거"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","- 공유 전 보완","TBM 브리핑 근거"
"위험성평가표","오늘 개선·이력 반영 - 위험성평가","1","위험성평가표(구조화 편집본)"
"위험성평가표","1. 외벽 도장 작업","관리번호","RA-construction-painting-1"
"위험성평가표","1. 외벽 도장 작업","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","1. 외벽 도장 작업","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","1. 외벽 도장 작업","세부작업","외벽 도장 작업"
"위험성평가표","1. 외벽 도장 작업","장비/도구","이동식 비계, 안전난간, 추락방지 보호구"
"위험성평가표","1. 외벽 도장 작업","유해·위험요인","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"위험성평가표","1. 외벽 도장 작업","4M","Machine"
"위험성평가표","1. 외벽 도장 작업","재해형태","fall"
"위험성평가표","1. 외벽 도장 작업","현재 안전조치","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","1. 외벽 도장 작업","가능성","3"
"위험성평가표","1. 외벽 도장 작업","중대성","4"
"위험성평가표","1. 외벽 도장 작업","위험등급","high"
"위험성평가표","1. 외벽 도장 작업","추가 감소대책","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"위험성평가표","1. 외벽 도장 작업","조치담당자","관리감독자"
"위험성평가표","1. 외벽 도장 작업","조치기한","현장 확인"
"위험성평가표","1. 외벽 도장 작업","확인방법","작업 전 TBM 및 현장 사진 확인"
"위험성평가표","1. 외벽 도장 작업","확인상태","planned"
"위험성평가표","1. 외벽 도장 작업","확인일","현장 확인"
"위험성평가표","1. 외벽 도장 작업","확인자","작업반장"
"위험성평가표","1. 외벽 도장 작업","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","1. 외벽 도장 작업","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","1. 외벽 도장 작업","근거","riskAssessmentDraft | tbmBriefing"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","관리번호","RA-construction-painting-2"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","세부작업","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","장비/도구","이동식 비계, 안전난간, 추락방지 보호구"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","유해·위험요인","강풍 시 비계 전도와 공구·자재 낙하"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","4M","Machine"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","재해형태","fall"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","현재 안전조치","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
